1,Jordan Spieth
2,Jason Day
3,Rory McIlroy
4,Bubba Watson
5,Rickie Fowler
6,Adam Scott
7,Justin Rose
8,Dustin Johnson
9,Patrick Reed
10,Danny Willett
11,Branden Grace
12,Hideki Matsuyama
13,Sergio García
14,Zach Johnson
15,Brandt Snedeker
16,Louis Oosthuizen
17,Phil Mickelson
18,Brooks Koepka
19,Charl Schwartzel
20,Kevin Kisner
21,J. B. Holmes
22,Jimmy Walker
23,Paul Casey
24,Shane Lowry
25,Marc Leishman
26,Kevin Na
27,An Byeong-hun
28,Matt Kuchar
29,Andy Sullivan
30,Bill Haas
31,Justin Thomas
32,Russell Knox
33,Emiliano Grillo
34,Danny Lee
35,Bernd Wiesberger
36,Thongchai Jaidee
37,Kiradech Aphibarnrat
38,David Lingmerth
39,Victor Dubuisson
40,Billy Horschel
41,Chris Wood
42,Matthew Fitzpatrick
43,Søren Kjeldsen
44,Martin Kaymer
45,Ryan Moore
46,Smylie Kaufman
47,Scott Piercy
48,Anirban Lahiri
49,Robert Streb
50,Jaco van Zyl
51,Jamie Donaldson
52,Rafael Cabrera-Bello
53,Daniel Berger
54,Chris Kirk
55,Thomas Pieters
56,Charley Hoffman
57,Fabián Gómez
58,Jason Dufner
59,Lee Westwood
60,Marcus Fraser
61,Matt Jones
62,Graeme McDowell
63,Patton Kizzire
64,Thorbjørn Olesen
