Colley ,NA,D01,D10,WD01,WD10
1.00,53.33,73.33,73.33,66.67,66.67
2.00,56.25,62.50,62.50,56.25,56.25
3.00,42.86,64.29,64.29,42.86,42.86
4.00,57.14,42.86,42.86,57.14,57.14
5.00,35.71,64.29,64.29,35.71,42.86
6.00,64.29,42.86,35.71,64.29,71.43
7.00,53.85,53.85,38.46,53.85,53.85
8.00,61.54,69.23,76.92,61.54,61.54
9.00,50.00,57.14,57.14,50.00,50.00
10.00,81.25,50.00,50.00,81.25,81.25
11.00,62.50,62.50,62.50,56.25,56.25
12.00,81.25,37.60,43.75,81.25,81.25
13.00,62.50,56.25,50.00,62.50,68.75
14.00,50.00,56.25,56.25,50.00,62.50
15.00,43.75,50.00,50.00,37.50,43.75
16.00,56.25,87.50,87.50,56.25,62.50
