Massey,NA,D01,D10,WD01,WD10
1.00,0.00,43.75,43.75,31.25,31.25
2.00,50.00,50.00,50.00,50.00,50.00
3.00,53.33,73.33,73.33,60.00,60.00
4.00,40.00,53.33,53.33,53.33,53.33
5.00,53.33,73.33,73.33,60.00,60.00
6.00,50.00,78.57,78.57,42.85,42.85
7.00,85.71,85.71,85.71,85.71,85.71
8.00,46.15,61.54,61.54,61.54,61.54
9.00,71.43,64.29,64.29,64.29,64.29
10.00,53.85,69.23,69.23,61.54,61.54
11.00,86.67,80.00,80.00,80.00,80.00
12.00,56.25,62.50,62.50,56.25,56.25
13.00,50.00,56.25,56.25,56.25,56.25
14.00,62.50,50.00,50.00,56.25,56.25
15.00,75.00,68.75,68.75,68.75,68.75
16.00,81.25,81.25,81.25,81.25,81.25
