Colley,NA,D01,D10,WD01,WD10
1.00,56.25,68.75,62.50,56.25,62.50
2.00,62.50,75.00,75.00,62.50,68.75
3.00,40.00,66.67,66.66,46.67,46.67
4.00,73.33,40.00,40.00,73.33,66.67
5.00,64.29,42.86,42.86,64.29,57.14
6.00,78.57,78.57,78.57,78.57,71.43
7.00,80.00,80.00,80.00,73.33,80.00
8.00,50.00,57.14,64.28,50.00,57.14
9.00,30.77,61.54,53.85,30.77,30.77
10.00,85.71,85.71,85.71,85.71,78.57
11.00,78.57,35.71,35.71,78.57,71.43
12.00,56.25,43.75,43.75,56.25,56.25
13.00,56.25,81.25,75.00,56.25,56.25
14.00,62.50,56.25,56.25,62.50,62.50
15.00,75.00,56.25,56.25,75.00,81.25
16.00,50.00,56.25,56.25,50.00,56.25
